,index,time,latitude,longitude,new_target,Real_tom_target
0,5872,1980-01-16,-17.5,55.0,59.5,62.0
1,6249,1980-01-17,-17.5,55.0,62.0,58.5
2,6626,1980-01-18,-17.5,55.0,58.5,24.5
3,22837,1980-03-01,-17.5,55.0,77.0,77.0
4,23214,1980-03-02,-17.5,55.0,77.0,77.0
5,23591,1980-03-03,-17.5,55.0,77.0,27.5
6,26230,1980-03-10,-17.5,55.0,86.5,95.5
7,26607,1980-03-11,-17.5,55.0,95.5,95.5
8,26984,1980-03-12,-17.5,55.0,95.5,22.5
9,139707,1981-01-05,-17.5,55.0,71.0,72.0
10,140084,1981-01-06,-17.5,55.0,72.0,65.5
11,140461,1981-01-07,-17.5,55.0,65.5,0.0
12,161573,1981-03-04,-17.5,55.0,80.0,80.0
13,161950,1981-03-05,-17.5,55.0,80.0,20.5
14,171752,1981-03-31,-17.5,55.0,65.5,65.5
15,172129,1981-04-01,-17.5,55.0,65.5,43.5
16,174768,1981-04-08,-17.5,55.0,100.0,100.0
17,175145,1981-04-09,-17.5,55.0,100.0,100.0
18,175522,1981-04-10,-17.5,55.0,100.0,40.0
19,287114,1982-01-31,-17.5,55.0,100.0,100.0
20,287491,1982-02-01,-17.5,55.0,100.0,75.0
21,287868,1982-02-02,-17.5,55.0,75.0,0.0
22,402099,1982-12-02,-17.5,55.0,52.5,52.5
23,402476,1982-12-03,-17.5,55.0,52.5,4.5
24,547244,1983-12-22,-17.5,55.0,79.0,100.0
25,547621,1983-12-23,-17.5,55.0,100.0,100.0
26,547998,1983-12-24,-17.5,55.0,100.0,80.5
27,548375,1983-12-25,-17.5,55.0,80.5,0.0
28,557046,1984-01-17,-17.5,55.0,77.0,89.0
29,557423,1984-01-18,-17.5,55.0,89.0,89.0
30,557800,1984-01-19,-17.5,55.0,89.0,36.0
31,561570,1984-01-29,-17.5,55.0,71.0,71.0
32,561947,1984-01-30,-17.5,55.0,71.0,94.5
33,562324,1984-01-31,-17.5,55.0,94.5,0.0
34,693143,1985-01-12,-17.5,55.0,100.0,100.0
35,693520,1985-01-13,-17.5,55.0,100.0,100.0
36,693897,1985-01-14,-17.5,55.0,100.0,56.5
37,694274,1985-01-15,-17.5,55.0,56.5,5.5
38,702945,1985-02-07,-17.5,55.0,100.0,100.0
39,703322,1985-02-08,-17.5,55.0,100.0,100.0
40,703699,1985-02-09,-17.5,55.0,100.0,100.0
41,704076,1985-02-10,-17.5,55.0,100.0,100.0
42,704453,1985-02-11,-17.5,55.0,100.0,0.0
43,705584,1985-02-14,-17.5,55.0,84.5,92.5
44,705961,1985-02-15,-17.5,55.0,92.5,99.5
45,706338,1985-02-16,-17.5,55.0,99.5,99.5
46,706715,1985-02-17,-17.5,55.0,99.5,96.0
47,707092,1985-02-18,-17.5,55.0,96.0,63.0
48,707469,1985-02-19,-17.5,55.0,63.0,27.5
49,728581,1985-04-16,-17.5,55.0,75.5,72.5
50,728958,1985-04-17,-17.5,55.0,72.5,0.0
51,829617,1986-01-09,-17.5,55.0,64.0,64.0
52,829994,1986-01-10,-17.5,55.0,64.0,64.0
53,830371,1986-01-11,-17.5,55.0,64.0,0.0
54,838665,1986-02-02,-17.5,55.0,61.5,89.0
55,839042,1986-02-03,-17.5,55.0,89.0,92.5
56,839419,1986-02-04,-17.5,55.0,92.5,89.5
57,839796,1986-02-05,-17.5,55.0,89.5,74.5
58,840173,1986-02-06,-17.5,55.0,74.5,42.5
59,852614,1986-03-11,-17.5,55.0,72.5,95.5
60,852991,1986-03-12,-17.5,55.0,95.5,95.5
61,853368,1986-03-13,-17.5,55.0,95.5,85.5
62,853745,1986-03-14,-17.5,55.0,85.5,0.0
63,1101811,1988-01-01,-17.5,55.0,66.5,66.5
64,1102188,1988-01-02,-17.5,55.0,66.5,0.0
65,1133479,1988-03-25,-17.5,55.0,53.0,6.5
66,1652231,1991-12-31,-17.5,55.0,52.0,50.5
67,1652608,1992-01-01,-17.5,55.0,50.5,0.0
68,1796622,1993-01-17,-17.5,55.0,100.0,100.0
69,1796999,1993-01-18,-17.5,55.0,100.0,99.5
70,1797376,1993-01-19,-17.5,55.0,99.5,0.0
