,latitude,longitude,number,time,step,surface,valid_time,lsm
5274,0.0,45.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5275,0.0,47.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5276,0.0,50.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5277,0.0,52.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5278,0.0,55.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5279,0.0,57.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5280,0.0,60.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5281,0.0,62.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5282,0.0,65.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5283,0.0,67.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5284,0.0,70.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5285,0.0,72.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5286,0.0,75.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5287,0.0,77.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5288,0.0,80.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5289,0.0,82.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5290,0.0,85.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5291,0.0,87.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5292,0.0,90.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5417,-2.5,42.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5418,-2.5,45.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5419,-2.5,47.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5420,-2.5,50.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5421,-2.5,52.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5422,-2.5,55.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5423,-2.5,57.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5424,-2.5,60.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5425,-2.5,62.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5426,-2.5,65.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5427,-2.5,67.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5428,-2.5,70.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5429,-2.5,72.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5430,-2.5,75.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5431,-2.5,77.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5432,-2.5,80.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5433,-2.5,82.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5434,-2.5,85.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5435,-2.5,87.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5436,-2.5,90.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5560,-5.0,40.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5561,-5.0,42.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5562,-5.0,45.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5563,-5.0,47.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5564,-5.0,50.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5565,-5.0,52.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5566,-5.0,55.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
